nodes,classical_tps,static_hybrid_tps,ml_optimized_tps
50.0,1129.1866028708134,912.3827751196173,989.1674641148326
100.0,1101.4415407526717,883.5217449473903,960.9969777108794
150.0,1082.5688073394494,863.8899082568807,941.834862385321
200.0,1068.3695252608873,849.1194994991585,927.4178579815542
250.0,1057.0414384011144,837.3357718123593,915.9160737899315
300.0,1047.6494297553468,827.5659957077285,906.3800543449288
350.0,1039.647577092511,819.2422907488988,898.2555066079295
400.0,1032.6902247079006,812.0050981905962,891.1914748200884
450.0,1026.545095322997,805.6127980459887,884.9521201179496
500.0,1021.0488150300764,799.8954451457305,879.3715635272042
